The Collections reverse() method can reverse the elements in a Java List.,"[""('method', 'collaboration', 'interface'): (collections.reverse(), reverse the elements in, list)""]"
Each of the methods ceilingEntry() floorEntry() higherEntry() and lowerEntry() will be covered in the following sections,"[""('method', 'collaboration', 'method'): (ceilingentry(), methods, floorentry())"", ""('method', 'collaboration', 'method'): (ceilingentry(), methods, higherentry())"", ""('method', 'collaboration', 'method'): (ceilingentry(), methods, lowerentry())"", ""('method', 'collaboration', 'method'): (floorentry(), methods, higherentry())"", ""('method', 'collaboration', 'method'): (floorentry(), methods, lowerentry())"", ""('method', 'collaboration', 'method'): (higherentry(), methods, lowerentry())""]"
To do so set the upper bound to 1 and have the call to take() and release() guard the critical section,"[""('method', 'collaboration', 'method'): (take(), guard the critical section, release())""]"
Once you have opened a socket (network connection) though you read and write data to and from it via Java IO InputStream and OutputStream classes,"[""('class', 'collaboration', 'class'): (inputstream, read data from, outputstream)"", ""('class', 'collaboration', 'class'): (outputstream, write data to, inputstream)""]"
Many of the core components in the Java Collection API rely on the correct implementation of the `hashCode()` and `equals()` methods.,"[""('interface', 'dependency', 'method'): (collection, rely on, hashcode())"", ""('interface', 'dependency', 'method'): (collection, rely on, equals())""]"
java.io.PrintWriter example first creates a PrintWriter instance which is connected to a FileWriter,"[""('class', 'creation', 'class'): (java.io.printwriter, creates a printwriter instance, java.io.filewriter)""]"
InputStream.read() example creates an AsynchronousFileChannel and then creates a ByteBuffer which is passed to the read() method as parameter along with a position of 0,"[""('class', 'implementation', 'method'): (bytebuffer, passed to, read())""]"
java.lang.StringBuffer text explains how to use the SimpleDateFormat class to format dates,"[""('class', 'collaboration', 'class'): (java.lang.stringbuffer, use, simpledateformat)""]"
In general you can call the markSupported() method to find out if mark() and reset() are supported on a given InputStream or not but the BufferedInputStream supports them,"[""('method', 'collaboration', 'method'): (marksupported(), supports, mark())"", ""('method', 'collaboration', 'method'): (marksupported(), supports, reset())"", ""('method', 'collaboration', 'class'): (marksupported(), supports, bufferedinputstream)"", ""('method', 'dependency', 'class'): (marksupported(), find out if supported, inputstream)"", ""('method', 'collaboration', 'class'): (marksupported(), supports, inputstream)"", ""('class', 'collaboration', 'method'): (bufferedinputstream, supports, mark())"", ""('class', 'collaboration', 'method'): (bufferedinputstream, supports, reset())""]"
"The newLine() method which can write a new-line character to the underlying Writer. In addition, you may need to call flush() if you need to be absolutely sure that the characters written until now is flushed out of the buffer and onto the network or disk.","[""('method', 'collaboration', 'method'): (newline(), write a new-line character, flush())""]"
Queue.poll() is different than remove() which throws an exception if the Deque is empty,"[""('method', 'difference', 'method'): (queue.poll(), different than, remove())""]"
Notice the two synchronized blocks inside the set() and get() method. Notice how the blocks are placed last and first in the two methods.,"[""('method', 'collaboration', 'method'): (set(), synchronized blocks usage, get())""]"
"The replace() method will only insert the new value if there is already an existing value mapped to the key. If no existing value is mapped to the given key, no value is inserted. This is different from how put() works, which always insert the value no matter what.","[""('method', 'difference', 'method'): (replace(), working mechanism differs from, put())""]"
The logrb() methods work like the log() methods too except they can obtain the log messages from a resource bundle,"[""('method', 'collaboration', 'method'): (logrb(), obtain the log messages, log())""]"
The Handler in the Java Logging API use a java.util.logging.Formatter to format the LogRecord before writing it to an external system,"[""('class', 'collaboration', 'class'): (handler, use, java.util.logging.formatter)""]"
